一	yī	one	一
丁	ding1		
七	qī	seven	一
万	wan4		
丈 	zhàng 	senior, measure (verb)	一
三	sān	three	一
上	shàng	up	一
下	xià	down	一
不	bù	no	一
丑	chou3		
专	zhuan1		
且	qie3		
世	shi4		
丘	qiu1		
业	ye4		
东 	dōng 	east	一
两 	liǎng 	pair	一
个	gè	one, a, an	丨
丫	ya1		
中 	zhōng 	centre，middle	丨
丰	feng1		
临	lin2		
丸	wan2		
为 	wèi 	do，act	丶
主	zhu3		
乂	yi4		
乃	nai3		
久	jiu3		
么	me5		
之	zhi1		
乍	zha4		
乐 	lè 	pleasure, enjoyment	丿
乔	qiao2		
乖	guai1		
九	jiǔ	nine	乙
也 	yě 	also	乙
习 	xí 	habit, custom practice	乙
书	shū	book	乙
买	mǎi	buy	乙
乱	luan4		
了	le	Progression / past particle	亅
事 	shì 	matter, affair	亅
二	èr	two	二
于	yu2		
云	yun2		
互	hu4		
五	wǔ	five	二
井	jing3		
些	xiē	some	二
亡	wang2		
交	jiao1		
产	chan3		
京 	jīng 	capital of country	亠
亮	liang4		
亲	qin1		
人	rén	person	人
什	shen2		
仁	ren2		
今 	jīn 	now，the present	人
介 	jiè	situate between, introduce briefly	人
仍	reng2		
从	cong2		
他	tā	he, him	人
代	dai4		
以 	yǐ 	to use, because of	人
们	men5		
件 	jiàn 	piece 	人
企	qi3		
伊	yi1		
休 	xiū 	cease, rest	人
会	huì	can	人
伞	san3		
伤	shang1		
但 	dàn 	but, nevertheless	人
住	zhù	live	人
体 	tǐ 	part of the body, style, substance	人
作	zuo4		
你	nǐ	you	人
佥	qian1		
使	shi3		
侵	qin1		
便 	pián 	(part of) cheap, convenient	人
保	bao3		
信	xin4		
倒	dao3		
候 	hóu 	wait, inquire after, time, season	人
假	jia3		
做	zuò	do	人
停	ting2		
像	xiang4		
儿 	ér 	child, son	儿
元 	yuán 	yuan，component	儿
先 	xiān	ancestor，earlier	儿
光	guang1		
克	ke4		
兔	tu4		
入	ru4		
全	quan2		
八	bā	eight	八
公 	gōng	public affairs	八
六	liù	six	八
兰	lan2		
共 	gòng 	common, general	八
关 	guān 	close, turn off, mountain pass	八
兴 	xìng 	prosper, flourish	八
其	qi2		
典	dian3		
冂	jiōng	wide	冂
再 	zài 	again 	冂
最 	zuì 	most 	冂
写	xiě	write	冖
军	jun1		
冬	dong1		
冰	bing1		
冲	chong1		
况	kuang4		
冷	lěng	cold	冫
准 	zhǔn 	grant, allow	冫
凉	liang2		
几	jǐ	a few, how many	几
凡	fan2		
凸	tu1		
出 	chū	go out, to rise, go beyond	凵
击	ji1		
刀	dao1		
分 	fēn 	divide, part	刀
切	qie4		
刚	gang1		
利	li4		
别 	bié 	leave, depart, other	刀
到 	dào 	arrive, reach	刀
刷	shua1		
前 	qián 	front, first, before	刀
剧	ju4		
力	lì 	power, force	力
办	ban4		
功	gong1		
加	jia1		
务 	wù 	affair, business	力
动 	dòng 	move, displace, make use of	力
助 	zhù 	to help, to assist	力
劲	jin4		
勺	shao2		
勿	wu4		
包	bao1		
匕	bǐ	spoon	匕
北 	běi 	north	匕
匙	chi2		
匝	za1		
匸	xì	box	匸
医 	yī 	doctor, to treat	匸
十	shí	ten	十
卂	xun4		
千 	qiān 	thousand 	十
午 	wǔ 	noon, midday	十
半	ban4		
华	hua2		
卑	bei1		
卓	zhuo2		
单	dan1		
卖	mai4		
博	bo2		
卜	bo5		
占	zhan1		
卡	ka3		
卧	wo4		
危	wei1		
卷	juan3		
厄	e4		
厉	li4		
厌	yan4		
原	yuan2		
去	qù	go	厶
又	you4		
及	ji2		
友 	yǒu 	friend	又
双	shuang1		
发	fa1		
受	shou4		
口	kǒu	mouth, open end	口
古	gu3		
句	ju4		
只	zhi3		
叫	jiào	call	口
可	ke3		
右 	yòu 	right side	口
叶	ye4		
号 	hào 	number 	口
司	si1		
吃	chī	eat	口
各	ge4		
同	tong2		
名 	míng 	name	口
后 	hòu 	back, behind, after	口
向 	xiàng 	towards, direction	口
吓	xia4		
吗	ma	question particle	口
听	tīng	listen	口
吹	chui1		
吻	wen3		
呀	ya5		
呆	dai1		
告 	gào 	tell, inform, report, sue	口
员 	yuán 	person, employee, member	口
呙	guo1		
呢	ne	question particle	口
周	zhou1		
味	wei4		
命	ming4		
和	hé	and	口
咖	ka1		
咪	mi1		
品	pin3		
哈	ha1		
响	xiang3		
哥 	gē 	elder brother	口
哪	nǎ (nǎr)	where	口
哭	ku1		
唱 	chàng 	sing, call	口
商 	shāng 	merchant, commerse	口
啡	fei1		
啤	pi2		
啦	la1		
啪	pa1		
喂	wèi	hello	口
喜 	xǐ 	to like, to enjoy, happiness	口
喝	hē	drink	口
嗯	en1		
器	qi4		
囗	wéi	erect, proud, upright	囗
四	sì	four	囗
回	huí	return	囗
因 	yīn 	cause, reason	囗
团	tuan2		
园	yuan2		
困	kun4		
囱	cong1		
国 	guó 	country, nation	囗
图	tu2		
土	tu3		
圣	sheng4		
在	zài	in, at	土
地	di4		
场 	chǎng 	large space, stage	土
坐	zuò	sit	土
块	kuài	piece	土
垂	chui2		
城	cheng2		
基	ji1		
堂	tang2		
堡	bao3		
壤	rang3		
士	shi4		
声	sheng1		
夂	zhǐ	go, walk slowly	夂
处	chu3		
备 	bèi 	prepare, get ready	夂
复	fu4		
夏	xia4		
夕	xi1		
外 	wài 	outside, foreigner	夕
多	duō	many, much	夕
夜	ye4		
够	gou4		
大	dà	big	大
天 	tiān 	sky, day, heaven	大
太	tài	too	大
夫 	fu 	husband, man, manual worker	大
夭	yao1		
失	shǐ	arrow; vow	失
头	tou2		
夷	yi2		
奇	qi2		
奥	ao4		
女 	nǚ 	female, daughter	女 
奴	nu2		
奶 	nǎi 	milk	女 
她	tā	she, her	女
好	hǎo	good	女
如	ru2		
妈 	mā 	mother 	女
妹 	mèi 	younger sister	女
妻 	qī 	wife	女
始 	shǐ 	begin, start, then	女
姐 	jiě 	elder sister	女
姓 	xìng 	surname 	女
姨	yi2		
姻	yin1		
威	wei1		
娇	jiao1		
子	zi	offspring, child	子
字	zì	character	子
存	cun2		
学 	xué 	learning, knowledge	子
孩 	hái 	child	子
宁	ning2		
它 	tā 	it 	宀
完 	wán 	finish, complete, whole	宀
官	guan1		
定	ding4		
宜 	yi 	proper, suitable, should	宀
宝	bao3		
实	shi5		
宠	chong3		
客 	kè 	customer, visitor, guest	宀
室 	shì 	room	宀
害	hai4		
宵	xiao1		
家	jiā	home	宀
