一	yī 	one
一些	yīxiē 	some
一定要	yīdìng yào 	must
一路	yīlù 	all the way
顿	dùn 	pause
三	sān 	three
上玩	shàng wán 	game on
下	xià 	under
不停	bù tíng 	nonstop
东西	dōngxī 	thing
为	wèi 	for
也不	yě bù 	nor
也没说	yě méi shuō 	did not say
买	mǎi 	buy
于是	yúshì 	then
些	xiē 	some
仍然	réngrán 	still
从	cóng 	from
从前	cóngqián 	unce upon a time
从此过	cóngcǐguò 	since then
从这	cóng zhè 	from this
会	huì 	meeting
但是	dànshì 	but
住	zhù 	live
候敲	hòu qiāo 	knock
候赶	hòu gǎn 	waiting
假装	jiǎzhuāng 	pretend
假装不	jiǎzhuāng bù 	pretending not to
做	zuò 	do
做好	zuò hǎo 	do well
停地	tíng de 	stop
先生	xiānshēng 	mr
关上门	guān shàngmén 	close the door
再也	zài yě 	again
准备	zhǔnbèi 	ready
出发	chūfā 	set off
别	bié 	do not
到房	dào fáng 	to the house
前	qián 	before
办法	bànfǎ 	method
去	qù 	go with
只	zhǐ	only
只是	zhǐshì	just
可以	kěyǐ	can
史密	shǐ mì	smith
吃掉	chī diào	eat
听到	tīng dào	hear
吹	chuī	blow
吹倒	chuī dào	blow down
吹呀	chuī ya	blow it
吹气	chuī qì	blowing
和	hé	with
哈哈	hāhā	haha
响门	xiǎng mén	ring
器	qì	device
器撞倒	qì zhuàng dǎo	knocked down
回家	huí jiā	come back home
因为它是	yīnwèi tā shì	because it is
在	zài	in
地	de	ground
多了	duōle	too much
大	dà	big
大灰狼	dà huī láng	big wolf
太好了	tài hǎole	great
太美味	tài měiwèi	too delicious
头	tóu	head
奶油	nǎiyóu	cream
好吃	hào chī	good to eat
如果	rúguǒ	in case
子前	zi qián	before
它	tā	it
害怕	hàipà	scared
家赶	jiā gǎn	home
家里	jiālǐ	home
对	duì	correct
将	jiāng	will
将带	jiāng dài	will bring
将盖	jiāng gài	cover
小心	xiǎoxīn	be careful
尝尝	cháng cháng	taste
就	jiù	on
就出发	jiù chūfā	just set off
就带	jiù dài	take
就拔	jiù bá	pull out
就用	jiù yòng	then apply
屋顶	wūdǐng	roof
属于	shǔyú	belong
山	shān	mountain
